city,lat,long
Berlin,52.5170365,13.3888599
Bialystok,53.132398,23.1591679
Munich,48.1371079,11.5753822
Frankfurt,50.1106444,8.6820917
Amsterdam,52.3730796,4.8924534
Brussels,50.8550018,4.351233376
Cologne,50.938361,6.959974
Hamburg,53.550341,10.000654
Copenhagen,55.6867243,12.5700724
Stockholm,59.3251172,18.0710935
Oslo,59.9133301,10.7389701
Östersund,63.1793655,14.6357061
Prague,50.0874654,14.4212535
Vienna,48.2083537,16.3725042
Budapest,47.48138955,19.14609413
Venice,45.4371908,12.3345898
Ljubljana,46.0500268,14.5069289
Zagreb,45.8130967,15.9772795
Belgrade,44.81533175,20.44565877
Bucharest,44.4361414,26.1027202
Sofia,42.6977028,23.3217359
Skopje,41.9961816,21.4319213
Thessaloniki,40.6403167,22.9352716
Athens,37.9755648,23.7348324
Helsinki,60.1674881,24.9427473
Paris,48.8534951,2.3483915
Lyon,45.7578137,4.8320114
Marseille,43.2961743,5.3699525
Nice,43.7009358,7.2683912
Milan,45.4641943,9.1896346
Bologna,44.4938203,11.3426327
Florence,43.7698712,11.2555757
Rome,41.8933203,12.4829321
Naples,40.8358846,14.2487679
Montpellier,43.6112422,3.8767337
Bordeaux,44.841225,-0.5800364
Madrid,40.4167047,-3.7035825
Barcelona,41.3828939,2.1774322
Lisbon,38.7077507,-9.1365919
Dublin,53.3493795,-6.2605593
London,51.4893335,-0.1440550845
Birmingham,52.4796992,-1.9026911
Edinburgh,55.9533456,-3.1883749
Warsaw,52.2319581,21.0067249
Riga,56.9493977,24.1051846
Vilnius,54.6870458,25.2829111
Daugavpils,55.8712267,26.5159337
Tartu,58.3801207,26.72245
Istanbul,41.0766019,29.052495
Ancona,43.4801204,13.21879061
Bari,41.1257843,16.8620293
Igoumenitsa,39.5045294,20.2650921
Holyhead,53.3106715,-4.6330966
Bergen,60.3943055,5.3259192
Trondheim,63.4304475,10.3952118
Kiruna,68.166667,19.5
Split,43.5116383,16.4399659
Patras,38.246242,21.7350847
Turku,60.4517531,22.2670522
Rovaniemi,66.5025657,25.73122
Rennes,48.1113387,-1.6800198
Bern,46.9484742,7.4521749
Catania,37.5023612,15.0873718
Valencia,39.4697065,-0.3763353
Málaga,36.7213028,-4.4216366
Santiago de Compostela,42.9057312,-8.517517
Santander,43.4620412,-3.8099719
Pamplona,42.8181992,-1.6440089
Seville,37.3886303,-5.9953403
Porto,41.1494512,-8.6107884
Faro,37.0162727,-7.9351771
Belfast,54.596391,-5.9301829
Cork,51.897077,-8.4654674
Westport,53.8012,-9.5223
Penzance,50.1194794,-5.5352463
Bristol,51.4538022,-2.5972985
Glasgow,55.861155,-4.2501687
Aberdeen,57.1482429,-2.0928095
Klaipėda,55.7127529,21.1350469
Tallinn,59.4372155,24.7453688
Ankara,39.7160439,32.7059948
Gdańsk,54.42880315,18.79832565
Heraklion,35.33908,25.1332843
Rhodes,36.17252975,27.91940164